Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7/26/2023,,,,,,,,,,,,,,,,,,,,
7/29/2023,,,,,,,,,,,,,,,,,,,,
8/1/2023,,,,,,5.13,,,,,,,,,,,,,,
8/4/2023,,,,,,,,,,,,,,,,,,,,
8/7/2023,,,,,,,,,,,,,,,,,,,,
8/11/2023,,8.02,,,7.33,,,,9.92,9.06,,7.28,,,,,11.86,,5.28,
8/13/2023,4.46,,,6.28,,,10.04,10.46,,,,,5.51,,14.81,17.69,,6.39,,8.48
8/17/2023,,,8.4,,,,,,,,10.69,,,5.23,,,,,,
8/21/2023,,,,,,,,,,,,,,,,,,,,
8/24/2023,,,,,,4.33,,,,,,,,,,,,,,
8/27/2023,,,,,,,,,,,,,,,,,,,,
8/31/2023,,6.36,,,,,,,,,,,,,,,8.54,,,
9/5/2023,,,,4.25,4.98,,,8.41,6.05,,,,8.51,,3.79,,,,,
9/9/2023,7.34,,,,,,,,,2.99,,,,,,,,,,
9/13/2023,,,5.08,,,,4.34,,,,6.688,,,12.86,,,,,,
9/17/2023,,,,,,8.12,,,,,,,,,,,,,,12.75
9/21/2023,,,,,,,,,,,,,,,,,,,,
9/24/2023,,,,,,,,,,,,,,,,,,,,
9/28/2023,,,,4.11,,,,,,,,,,,,,,,8.17,
